ID,Pred
2021_3104_3112,0.5
2021_3104_3116,0.5
2021_3104_3124,0.5
2021_3104_3125,0.5
2021_3104_3133,0.5
2021_3104_3140,0.5
2021_3104_3141,0.5
2021_3104_3163,0.5
2021_3104_3180,0.5
2021_3104_3195,0.5
2021_3104_3199,0.5
2021_3104_3208,0.5
2021_3104_3210,0.5
2021_3104_3211,0.5
2021_3104_3219,0.5
2021_3104_3226,0.5
2021_3104_3231,0.5
2021_3104_3234,0.5
2021_3104_3235,0.5
2021_3104_3238,0.5
2021_3104_3246,0.5
2021_3104_3250,0.5
2021_3104_3257,0.5
2021_3104_3265,0.5
2021_3104_3266,0.5
2021_3104_3268,0.5
2021_3104_3273,0.5
2021_3104_3276,0.5
2021_3104_3277,0.5
2021_3104_3283,0.5
2021_3104_3291,0.5
2021_3104_3292,0.5
2021_3104_3299,0.5
2021_3104_3301,0.5
2021_3104_3314,0.5
2021_3104_3321,0.5
2021_3104_3329,0.5
2021_3104_3332,0.5
2021_3104_3333,0.5
2021_3104_3353,0.5
2021_3104_3355,0.5
2021_3104_3372,0.5
2021_3104_3376,0.5
2021_3104_3377,0.5
2021_3104_3378,0.5
2021_3104_3390,0.5
2021_3104_3392,0.5
2021_3104_3393,0.5
2021_3104_3397,0.5
2021_3104_3400,0.5
2021_3104_3401,0.5
2021_3104_3407,0.5
2021_3104_3413,0.5
2021_3104_3416,0.5
2021_3104_3417,0.5
2021_3104_3430,0.5
2021_3104_3433,0.5
2021_3104_3439,0.5
2021_3104_3448,0.5
2021_3104_3450,0.5
2021_3104_3452,0.5
2021_3104_3460,0.5
2021_3104_3461,0.5
2021_3112_3116,0.5
2021_3112_3124,0.5
2021_3112_3125,0.5
2021_3112_3133,0.5
2021_3112_3140,0.5
2021_3112_3141,0.5
2021_3112_3163,0.5
2021_3112_3180,0.5
2021_3112_3195,0.5
2021_3112_3199,0.5
2021_3112_3208,0.5
2021_3112_3210,0.5
2021_3112_3211,0.5
2021_3112_3219,0.5
2021_3112_3226,0.5
2021_3112_3231,0.5
2021_3112_3234,0.5
2021_3112_3235,0.5
2021_3112_3238,0.5
2021_3112_3246,0.5
2021_3112_3250,0.5
2021_3112_3257,0.5
2021_3112_3265,0.5
2021_3112_3266,0.5
2021_3112_3268,0.5
2021_3112_3273,0.5
2021_3112_3276,0.5
2021_3112_3277,0.5
2021_3112_3283,0.5
2021_3112_3291,0.5
2021_3112_3292,0.5
2021_3112_3299,0.5
2021_3112_3301,0.5
2021_3112_3314,0.5
2021_3112_3321,0.5
2021_3112_3329,0.5
2021_3112_3332,0.5
2021_3112_3333,0.5
2021_3112_3353,0.5
2021_3112_3355,0.5
2021_3112_3372,0.5
2021_3112_3376,0.5
2021_3112_3377,0.5
2021_3112_3378,0.5
2021_3112_3390,0.5
2021_3112_3392,0.5
2021_3112_3393,0.5
2021_3112_3397,0.5
2021_3112_3400,0.5
2021_3112_3401,0.5
2021_3112_3407,0.5
2021_3112_3413,0.5
2021_3112_3416,0.5
2021_3112_3417,0.5
2021_3112_3430,0.5
2021_3112_3433,0.5
2021_3112_3439,0.5
2021_3112_3448,0.5
2021_3112_3450,0.5
2021_3112_3452,0.5
2021_3112_3460,0.5
2021_3112_3461,0.5
2021_3116_3124,0.5
2021_3116_3125,0.5
2021_3116_3133,0.5
2021_3116_3140,0.5
2021_3116_3141,0.5
2021_3116_3163,0.5
2021_3116_3180,0.5
2021_3116_3195,0.5
2021_3116_3199,0.5
2021_3116_3208,0.5
2021_3116_3210,0.5
2021_3116_3211,0.5
2021_3116_3219,0.5
2021_3116_3226,0.5
2021_3116_3231,0.5
2021_3116_3234,0.5
2021_3116_3235,0.5
2021_3116_3238,0.5
2021_3116_3246,0.5
2021_3116_3250,0.5
2021_3116_3257,0.5
2021_3116_3265,0.5
2021_3116_3266,0.5
2021_3116_3268,0.5
2021_3116_3273,0.5
2021_3116_3276,0.5
2021_3116_3277,0.5
2021_3116_3283,0.5
2021_3116_3291,0.5
2021_3116_3292,0.5
2021_3116_3299,0.5
2021_3116_3301,0.5
2021_3116_3314,0.5
2021_3116_3321,0.5
2021_3116_3329,0.5
2021_3116_3332,0.5
2021_3116_3333,0.5
2021_3116_3353,0.5
2021_3116_3355,0.5
2021_3116_3372,0.5
2021_3116_3376,0.5
2021_3116_3377,0.5
2021_3116_3378,0.5
2021_3116_3390,0.5
2021_3116_3392,0.5
2021_3116_3393,0.5
2021_3116_3397,0.5
2021_3116_3400,0.5
2021_3116_3401,0.5
2021_3116_3407,0.5
2021_3116_3413,0.5
2021_3116_3416,0.5
2021_3116_3417,0.5
2021_3116_3430,0.5
2021_3116_3433,0.5
2021_3116_3439,0.5
2021_3116_3448,0.5
2021_3116_3450,0.5
2021_3116_3452,0.5
2021_3116_3460,0.5
2021_3116_3461,0.5
2021_3124_3125,0.5
2021_3124_3133,0.5
2021_3124_3140,0.5
2021_3124_3141,0.5
2021_3124_3163,0.5
2021_3124_3180,0.5
2021_3124_3195,0.5
2021_3124_3199,0.5
2021_3124_3208,0.5
2021_3124_3210,0.5
2021_3124_3211,0.5
2021_3124_3219,0.5
2021_3124_3226,0.5
2021_3124_3231,0.5
2021_3124_3234,0.5
2021_3124_3235,0.5
2021_3124_3238,0.5
2021_3124_3246,0.5
2021_3124_3250,0.5
2021_3124_3257,0.5
2021_3124_3265,0.5
2021_3124_3266,0.5
2021_3124_3268,0.5
2021_3124_3273,0.5
2021_3124_3276,0.5
2021_3124_3277,0.5
2021_3124_3283,0.5
2021_3124_3291,0.5
2021_3124_3292,0.5
2021_3124_3299,0.5
2021_3124_3301,0.5
2021_3124_3314,0.5
2021_3124_3321,0.5
2021_3124_3329,0.5
2021_3124_3332,0.5
2021_3124_3333,0.5
2021_3124_3353,0.5
2021_3124_3355,0.5
2021_3124_3372,0.5
2021_3124_3376,0.5
2021_3124_3377,0.5
2021_3124_3378,0.5
2021_3124_3390,0.5
2021_3124_3392,0.5
2021_3124_3393,0.5
2021_3124_3397,0.5
2021_3124_3400,0.5
2021_3124_3401,0.5
2021_3124_3407,0.5
2021_3124_3413,0.5
2021_3124_3416,0.5
2021_3124_3417,0.5
2021_3124_3430,0.5
2021_3124_3433,0.5
2021_3124_3439,0.5
2021_3124_3448,0.5
2021_3124_3450,0.5
2021_3124_3452,0.5
2021_3124_3460,0.5
2021_3124_3461,0.5
2021_3125_3133,0.5
2021_3125_3140,0.5
2021_3125_3141,0.5
2021_3125_3163,0.5
2021_3125_3180,0.5
2021_3125_3195,0.5
2021_3125_3199,0.5
2021_3125_3208,0.5
2021_3125_3210,0.5
2021_3125_3211,0.5
2021_3125_3219,0.5
2021_3125_3226,0.5
2021_3125_3231,0.5
2021_3125_3234,0.5
2021_3125_3235,0.5
2021_3125_3238,0.5
2021_3125_3246,0.5
2021_3125_3250,0.5
2021_3125_3257,0.5
2021_3125_3265,0.5
2021_3125_3266,0.5
2021_3125_3268,0.5
2021_3125_3273,0.5
2021_3125_3276,0.5
2021_3125_3277,0.5
2021_3125_3283,0.5
2021_3125_3291,0.5
2021_3125_3292,0.5
2021_3125_3299,0.5
2021_3125_3301,0.5
2021_3125_3314,0.5
2021_3125_3321,0.5
2021_3125_3329,0.5
2021_3125_3332,0.5
2021_3125_3333,0.5
2021_3125_3353,0.5
2021_3125_3355,0.5
2021_3125_3372,0.5
2021_3125_3376,0.5
2021_3125_3377,0.5
2021_3125_3378,0.5
2021_3125_3390,0.5
2021_3125_3392,0.5
2021_3125_3393,0.5
2021_3125_3397,0.5
2021_3125_3400,0.5
2021_3125_3401,0.5
2021_3125_3407,0.5
2021_3125_3413,0.5
2021_3125_3416,0.5
2021_3125_3417,0.5
2021_3125_3430,0.5
2021_3125_3433,0.5
2021_3125_3439,0.5
2021_3125_3448,0.5
2021_3125_3450,0.5
2021_3125_3452,0.5
2021_3125_3460,0.5
2021_3125_3461,0.5
2021_3133_3140,0.5
2021_3133_3141,0.5
2021_3133_3163,0.5
2021_3133_3180,0.5
2021_3133_3195,0.5
2021_3133_3199,0.5
2021_3133_3208,0.5
2021_3133_3210,0.5
2021_3133_3211,0.5
2021_3133_3219,0.5
2021_3133_3226,0.5
2021_3133_3231,0.5
2021_3133_3234,0.5
2021_3133_3235,0.5
2021_3133_3238,0.5
2021_3133_3246,0.5
2021_3133_3250,0.5
2021_3133_3257,0.5
2021_3133_3265,0.5
2021_3133_3266,0.5
2021_3133_3268,0.5
2021_3133_3273,0.5
2021_3133_3276,0.5
2021_3133_3277,0.5
2021_3133_3283,0.5
2021_3133_3291,0.5
2021_3133_3292,0.5
2021_3133_3299,0.5
2021_3133_3301,0.5
2021_3133_3314,0.5
2021_3133_3321,0.5
2021_3133_3329,0.5
2021_3133_3332,0.5
2021_3133_3333,0.5
2021_3133_3353,0.5
2021_3133_3355,0.5
2021_3133_3372,0.5
2021_3133_3376,0.5
2021_3133_3377,0.5
2021_3133_3378,0.5
